Company Names,Years of experience,Skills,Locations,Salaries,Links
zenga tv,2 - 5Years,"['python', 'django', 'html5', 'javascript']",['Gurgaon (Haryana)'],As per Industry Standards,https://www.timesjobs.com/job-detail/python-developer-zenga-tv-gurgaon-2-to-5-yrs-jobid-e__PLUS__ZLUFXUI59zpSvf__PLUS__uAgZw==&source=srp
SEVEN CONSULTANCY,1 - 3Years,"['rest', 'python', 'storage']","['Navi Mumbai (Maharashtra)', 'Mumbai (Maharashtra)', 'Thane (Maharashtra)']",As per Industry Standards,https://www.timesjobs.com/job-detail/python-developer-seven-consultancy-navi-mumbai-mumbai-thane-1-to-3-yrs-jobid-deP__SLASH__U9VqSS9zpSvf__PLUS__uAgZw==&source=srp
INFINITY GROUP,2 - 5Years,"['python', 'css', 'django', 'html', 'bootstrap']",['Noida/ Greater Noida (Uttar Pradesh)'],As per Industry Standards,https://www.timesjobs.com/job-detail/python-developer-infinity-group-noida-greater-noida-2-to-5-yrs-jobid-WKzksjq__PLUS__GXxzpSvf__PLUS__uAgZw==&source=srp
SEVEN CONSULTANCY,4 - 7Years,"['python', 'mvc', 'sql']","['Navi Mumbai (Maharashtra)', 'Mumbai (Maharashtra)']",As per Industry Standards,https://www.timesjobs.com/job-detail/python-developer-seven-consultancy-navi-mumbai-mumbai-4-to-7-yrs-jobid-VJ3GBkmUwLVzpSvf__PLUS__uAgZw==&source=srp
