Company Names,Years of experience,Skills,Locations,Salaries,Links
inner light,3 - 8Years,"['python', 'AWS EKS', 'CI/CD', 'AWS ECS']",['Hyderabad/ Secunderabad (Telangana)'],As per Industry Standards,https://www.timesjobs.com/job-detail/software-engineer-backend-python-inner-light-hyderabad-secunderabad-3-to-8-yrs-jobid-QhObzw1LZ5dzpSvf__PLUS__uAgZw==&source=srp
AXISVISA IMMIGRATION SERVICES PRIVATE LIMITED,3 - 8Years,"['""Machine learning""', 'deep learning', 'Configuration Debugging', 'communication', '""Version Control""', '""debugging""', 'Kernel Debugging', 'communication', '""core python""']","['Australia (Australia)', 'Canada (Canada)', 'Germany (Germany)', 'United Kingdom (UK) (United Kingdom (uk))', 'United States of America (USA) (United States Of America (usa))']",25.65 - 54.45 Lakhs,https://www.timesjobs.com/job-detail/hiring-for-python-developer-in-abroad-axisvisa-immigration-services-private-limited-australia-canada-germany-null-null-3-to-8-yrs-jobid-byHKQuzH3G9zpSvf__PLUS__uAgZw==&source=srp
Electrobrain modern technologies pvt ltd,3 - 7Years,"['Relationship management', 'Process automation', 'Data analysis', 'Healthcare', 'Reporting tools', 'Operations', 'Manager Quality Control', 'Recruitment']","['Gurgaon (Haryana)', 'Hyderabad/ Secunderabad (Telangana)', 'Kolkata (West Bengal)', 'Mumbai (Maharashtra)', 'Noida/ Greater Noida (Uttar Pradesh)']",7.15 - 15.65 Lakhs,https://www.timesjobs.com/job-detail/python-data-analyst-electrobrain-modern-technologies-pvt-ltd-gurgaon-hyderabad-secunderabad-kolkata-mumbai-noida-greater-noida-3-to-7-yrs-jobid-lT7uybWKzoFzpSvf__PLUS__uAgZw==&source=srp
MACKENZIE MODERN IT SOLUTIONS PVT LTD,3 - 7Years,"['Relationship management', 'Process automation', 'Data analysis', 'Data Analyst', 'Data quality', 'Manager Quality Control', 'Recruitment']","['Gurgaon (Haryana)', 'Hyderabad/ Secunderabad (Telangana)', 'Kolkata (West Bengal)', 'Mumbai (Maharashtra)', 'Noida/ Greater Noida (Uttar Pradesh)']",7.30 - 16.55 Lakhs,https://www.timesjobs.com/job-detail/python-data-analyst-mackenzie-modern-it-solutions-pvt-ltd-gurgaon-hyderabad-secunderabad-kolkata-mumbai-noida-greater-noida-3-to-7-yrs-jobid-7vXBtx1utSZzpSvf__PLUS__uAgZw==&source=srp
MACKENZIE MODERN IT SOLUTIONS PVT LTD,3 - 7Years,"['Relationship management', 'Process automation', 'Data analysis', 'Data Analyst', 'Data quality', 'Manager Quality Control', 'Recruitment']","['Ahmedabad (Gujarat)', 'Bengaluru/ Bangalore (Karnataka)', 'Chennai (Tamil Nadu)', 'Delhi (Delhi)', 'Delhi/ NCR (Delhi)']",7.30 - 16.55 Lakhs,https://www.timesjobs.com/job-detail/python-data-analyst-mackenzie-modern-it-solutions-pvt-ltd-ahmedabad-bengaluru-bangalore-chennai-delhi-delhi-ncr-3-to-7-yrs-jobid-021l2idB535zpSvf__PLUS__uAgZw==&source=srp
Electrobrain modern technologies pvt ltd,3 - 7Years,"['Relationship management', 'Process automation', 'Data analysis', 'Healthcare', 'Reporting tools', 'Operations', 'Manager Quality Control', 'Recruitment']","['Ahmedabad (Gujarat)', 'Bengaluru/ Bangalore (Karnataka)', 'Chennai (Tamil Nadu)', 'Delhi (Delhi)', 'Delhi/ NCR (Delhi)']",7.15 - 15.65 Lakhs,https://www.timesjobs.com/job-detail/python-data-analyst-electrobrain-modern-technologies-pvt-ltd-ahmedabad-bengaluru-bangalore-chennai-delhi-delhi-ncr-3-to-7-yrs-jobid-pp__SLASH____PLUS__kWoxLcVzpSvf__PLUS__uAgZw==&source=srp
Maxgen Technologies,0 - 1Years,"['core pyton', 'internship']","['Pune (Maharashtra)', 'Jalgaon (Maharashtra)', 'Kolhapur (Maharashtra)', 'Nagpur (Maharashtra)', 'Solapur (Maharashtra)']",As per Industry Standards,https://www.timesjobs.com/job-detail/python-internship-in-pune-maxgen-technologies-pune-jalgaon-kolhapur-nagpur-solapur-0-to-1-yrs-jobid-sVPfV2__SLASH__VQohzpSvf__PLUS__uAgZw==&source=srp
Techno Wise,3 - 8Years,"['Azure', 'Azure Database', 'Azure Data bRICKS', 'Data Integration']",['Pune (Maharashtra)'],As per Industry Standards,https://www.timesjobs.com/job-detail/azure-python-developer-techno-wise-pune-3-to-8-yrs-jobid-X4QiAlBeHb1zpSvf__PLUS__uAgZw==&source=srp
Maxgen Technologies,0 - 1Years,"['django', 'machine learning']","['Pune (Maharashtra)', 'Jalgaon (Maharashtra)', 'Kolhapur (Maharashtra)', 'Nagpur (Maharashtra)', 'Solapur (Maharashtra)']",As per Industry Standards,https://www.timesjobs.com/job-detail/python-internship-in-pune-maxgen-technologies-pune-jalgaon-kolhapur-nagpur-solapur-0-to-1-yrs-jobid-DwcoM6xYKMlzpSvf__PLUS__uAgZw==&source=srp
Maxgen Technologies,0 - 1Years,['python'],"['Ahmedabad (Gujarat)', 'Bhavnagar (Gujarat)', 'Junagarh (Gujarat)', 'Rajkot (Gujarat)', 'Surendranagar (Gujarat)']",As per Industry Standards,https://www.timesjobs.com/job-detail/python-internship-in-ahmedabad-maxgen-technologies-ahmedabad-bhavnagar-junagarh-rajkot-surendranagar-0-to-1-yrs-jobid-iX7f2hMA9Y5zpSvf__PLUS__uAgZw==&source=srp
