Company Names,Years of experience,Skills,Locations,Salaries,Links
Electrobrain modern technologies pvt ltd,2 - 7Years,"['Process documentation', 'Analytical', 'Consulting', 'Machine learning', 'Silicon', 'Data analytics', 'Python']","['Chandigarh (Punjab)', 'Vijayawada (Andhra Pradesh)', 'Visakhapatnam (Andhra Pradesh)', 'Mangalore (Karnataka)', 'Mysoru/ Mysore (Karnataka)']",7.15 - 15.55 Lakhs,https://www.timesjobs.com/job-detail/senior-analyst-data-science-electrobrain-modern-technologies-pvt-ltd-chandigarh-vijayawada-visakhapatnam-mangalore-mysoru-mysore-2-to-7-yrs-jobid-zL1asEStqJVzpSvf__PLUS__uAgZw==&source=srp
Golden Triangle BES India LLP,3 - 8Years,"['Backend Developer', 'Developer', 'software developer', 'senior Developer', 'Python']",['Chennai (Tamil Nadu)'],8.00 - 14.00 Lakhs,https://www.timesjobs.com/job-detail/backend-developer-golden-triangle-bes-india-llp-chennai-3-to-8-yrs-jobid-JImvPPD2UpVzpSvf__PLUS__uAgZw==&source=srp
Whitekraaft Solutions LLP,2 - 5Years,"['laboratory information systems', 'laboratory workflows', 'LIMS', 'Python', '', 'JAVA']",['Chennai (Tamil Nadu)'],As per Industry Standards,https://www.timesjobs.com/job-detail/implementation-engineer-lab-automation-software-whitekraaft-solutions-llp-chennai-2-to-5-yrs-jobid-atTVO__SLASH__IIq1RzpSvf__PLUS__uAgZw==&source=srp
Team Management Services,4 - 8Years,"['MLOps', 'CI/CD', 'Power BI', 'Tableau', 'Databricks', 'Python']","['Mumbai (Maharashtra)', 'Navi Mumbai (Maharashtra)', 'Thane (Maharashtra)']",10.00 - 30.00 Lakhs,https://www.timesjobs.com/job-detail/data-scientist-architect-team-management-services-mumbai-navi-mumbai-thane-4-to-8-yrs-jobid-gBBnuQBLTr9zpSvf__PLUS__uAgZw==&source=srp
HR Empower Consultancy,0 - 1Years,"['software testing', 'JavaScript', 'HTML', 'Python', 'databases', 'Microsoft Office', 'Six Sigma']","['Rajahmundry (Andhra Pradesh)', 'Muzaffarpur (Bihar)', 'Bhiwani (Haryana)', 'Hamirpur (Himachal Pradesh)', 'Kannur (Kerala)']",As per Industry Standards,https://www.timesjobs.com/job-detail/quality-assurance-analyst-hr-empower-consultancy-rajahmundry-muzaffarpur-bhiwani-hamirpur-kannur-0-to-1-yrs-jobid-5r05LSoDUidzpSvf__PLUS__uAgZw==&source=srp
FLIGHT TO SUCESS IMMIGRATION LLP,1 - 6Years,"['Cloud Technologies', 'SQL Script', 'Python', 'PHP', 'Shell Scripting', 'Selenium', 'Java', 'Ruby', 'Git']","['Dubai (Dubai)', 'Germany (Germany)', 'Hong Kong (Hong Kong)']",30.05 - 60.15 Lakhs,https://www.timesjobs.com/job-detail/qa-qc-engineer-urgently-required-in-germany-sweden-flight-to-sucess-immigration-llp-dubai-germany-hong-kong-1-to-6-yrs-jobid-sUbG2kb0QtVzpSvf__PLUS__uAgZw==&source=srp
AXISVISA IMMIGRATION SERVICES PRIVATE LIMITED,5 - 10Years,"['Data Structue and alogrithm', 'Communication Skills', 'Python', 'Problem Solving', 'Source Control', 'Java', 'Object Oriented Program']","['Australia (Australia)', 'Canada (Canada)', 'Germany (Germany)', 'United Kingdom (UK) (United Kingdom (uk))', 'United States of America (USA) (United States Of America (usa))']",Best in Industry,https://www.timesjobs.com/job-detail/we-are-hiring-for-software-developer-programmer-in-abroad-axisvisa-immigration-services-private-limited-australia-canada-germany-null-null-5-to-10-yrs-jobid-xpkIkIQgsWBzpSvf__PLUS__uAgZw==&source=srp
SHREE ADISHAKTHI CONSULTANCY,6 - 10Years,"['Design Applications', 'Datamodelling', 'Application Installation Configuration', 'Snowflake', 'SQL knowledge', 'Oracle', '', 'PostgreSQL', 'Python', 'Teradata']",['Chennai (Tamil Nadu)'],16.00 - 17.50 Lakhs,https://www.timesjobs.com/job-detail/sql-snowflake-oracle-developer-shree-adishakthi-consultancy-chennai-6-to-10-yrs-jobid-MqQbovOFVyJzpSvf__PLUS__uAgZw==&source=srp
eSkillport HR Services Pvt. Ltd,6 - 8Years,"['Microsoft Exchange Online', 'AD', 'Entra Connect', 'ADFS', 'Microsoft 365', 'PowerShell', 'Python', 'AAD Service Principal']",['Kolkata (West Bengal)'],12.00 - 15.00 Lakhs,https://www.timesjobs.com/job-detail/microsoft-workspace-consultant-eskillport-hr-services-pvt-ltd-kolkata-6-to-8-yrs-jobid-qYn4__SLASH__eMYRZpzpSvf__PLUS__uAgZw==&source=srp
Electrobrain modern technologies pvt ltd,3 - 8Years,"['Data Science', 'Machine Learning', 'Technical Analysis', 'Project Management', 'Data', 'Python', 'Cloud']","['Delhi (Delhi)', 'Delhi/ NCR (Delhi)', 'Gurgaon (Haryana)', 'Noida/ Greater Noida (Uttar Pradesh)', 'Pune (Maharashtra)']",7.40 - 16.75 Lakhs,https://www.timesjobs.com/job-detail/delivery-manager-electrobrain-modern-technologies-pvt-ltd-delhi-delhi-ncr-gurgaon-noida-greater-noida-pune-3-to-8-yrs-jobid-vDOZIvYeKsdzpSvf__PLUS__uAgZw==&source=srp
Sparks To Ideas,0 - 1Years,"['python', 'react js', 'node js', 'flutter', 'machine learning', 'html/css', 'cyber security', 'Artificial Intelligence', 'php', 'javascript']",['Ahmedabad (Gujarat)'],1.05 - 6.10 Lakhs,https://www.timesjobs.com/job-detail/gtu-project-internship-in-ahmedabad-3-2-sparks-to-ideas-ahmedabad-0-to-1-yrs-jobid-cHmumwTlO6ZzpSvf__PLUS__uAgZw==&source=srp
Options & Ideas,3 - 6Years,"['Power BL', 'Data Cleaning & Preprocessing', 'Excel & Google Sheets', 'SQL', 'Python', 'Data Visualization']",['Kolkata (West Bengal)'],3.60 - 6.00 Lakhs,https://www.timesjobs.com/job-detail/data-analyst-business-analyst-options-ideas-kolkata-3-to-6-yrs-jobid-EtGrxMu1Y2RzpSvf__PLUS__uAgZw==&source=srp
HR Empower Consultancy,0 - 2Years,"['PHP', 'Python', 'Ruby', 'NET', 'JavaScript', 'HTML5', 'CSS3', 'Core Java', 'SASS', 'LESS']","['Lakshdweep (Union Territories)', 'Pondicherry/ Puducherry (Union Territories)', 'Adilabad (Telangana)', 'Anantapur (Andhra Pradesh)', 'Chittoor (Andhra Pradesh)']",As per Industry Standards,https://www.timesjobs.com/job-detail/back-end-engineer-hr-empower-consultancy-lakshdweep-pondicherry-puducherry-adilabad-anantapur-chittoor-0-to-2-yrs-jobid-DgzHMJs1hqtzpSvf__PLUS__uAgZw==&source=srp
Vividhataa,6 - 8Years,"['Clinical Research', 'GCP Devops', 'DevOps', 'Jenkins', 'maven Git', 'Python', 'Code', 'SOPs', 'Google Cloud Platform', 'Docker/Kubernetes(GKE)', 'Helm']",['Navi Mumbai (Maharashtra)'],Best in Industry,https://www.timesjobs.com/job-detail/gcp-devops-vividhataa-navi-mumbai-6-to-8-yrs-jobid-16Pwxra4EVtzpSvf__PLUS__uAgZw==&source=srp
Meetium Pvt ltd,2 - 6Years,"['IT Specialist', 'Web Design', 'Social Media Branding', 'wordpress development', 'python development', 'digital presence', 'technical support', 'web development', 'graphic design']",['Gandhinagar (Gujarat)'],3.00 - 6.00 Lakhs,https://www.timesjobs.com/job-detail/it-specialist-meetium-pvt-ltd-gandhinagar-2-to-6-yrs-jobid-JVMY__SLASH__U9xWR5zpSvf__PLUS__uAgZw==&source=srp
