Company Names,Years of experience,Skills,Locations,Salaries,Links
157 industries pvt ltd,5 - 8Years,"['ETL tool', 'Airflow', 'DAG', 'Python']",['Pune (Maharashtra)'],Best in Industry,https://www.timesjobs.com/job-detail/posgresql-developer-157-industries-pvt-ltd-pune-5-to-8-yrs-jobid-__PLUS__DG64g__SLASH__FWmlzpSvf__PLUS__uAgZw==&source=srp
Element Skill,3 - 7Years,"['C++', 'C', 'Python', 'Golang', 'Kubernetes', 'Linux', 'NOS']",['Ahmedabad (Gujarat)'],As per Industry Standards,https://www.timesjobs.com/job-detail/software-engineer-c-c-programming-element-skill-ahmedabad-3-to-7-yrs-jobid-QUktpRQhpsVzpSvf__PLUS__uAgZw==&source=srp
LTIMindtree Ltd.,6 - 11Years,"['Generative AI', 'Prompt Engineer', 'Python', 'VBA']","['Bengaluru/ Bangalore (Karnataka)', 'Chennai (Tamil Nadu)', 'Hyderabad/ Secunderabad (Telangana)', 'Kolkata (West Bengal)', 'Pune (Maharashtra)']",As per Industry Standards,https://www.timesjobs.com/job-detail/content-intelligence-ltimindtree-ltd-bengaluru-bangalore-chennai-hyderabad-secunderabad-kolkata-pune-6-to-11-yrs-jobid-0bJI8__PLUS__L4__SLASH__WRzpSvf__PLUS__uAgZw==&source=srp
SAMPOORNA CONSULTANTS PVT LTD,12 - 17Years,"['ETl', 'ELT', 'Python', 'v', 'Java', 'Hadoop', 'Spark']","['Mumbai (Maharashtra)', 'Navi Mumbai (Maharashtra)']",20.00 - 35.00 Lakhs,https://www.timesjobs.com/job-detail/manager-database-j48650-sampoorna-consultants-pvt-ltd-mumbai-navi-mumbai-12-to-17-yrs-jobid-FvHdihww3ixzpSvf__PLUS__uAgZw==&source=srp
Element Skill,0 - 3Years,"['Linux System', 'Networking', 'IoT', 'Python']","['Bengaluru/ Bangalore (Karnataka)', 'Delhi (Delhi)', 'Mumbai (Maharashtra)']",3.00 - 6.00 Lakhs,https://www.timesjobs.com/job-detail/site-reliability-engineer-element-skill-bengaluru-bangalore-delhi-mumbai-0-to-3-yrs-jobid-3__SLASH__PpFfU5GLNzpSvf__PLUS__uAgZw==&source=srp
Team Management Services,2 - 4Years,"['Databricks', 'Azure', 'Gen AI', 'ML', 'MLops', 'Python']",['Pune (Maharashtra)'],10.00 - 30.00 Lakhs,https://www.timesjobs.com/job-detail/data-scientist-team-management-services-pune-2-to-4-yrs-jobid-grXivtxqOXxzpSvf__PLUS__uAgZw==&source=srp
SKYWALK VISA IMMIGRATION SERVICES LLP,2 - 7Years,"['software development', 'angularjs', 'ethereum', 'blockchain', 'Python', 'docker', 'solidity']","['Australia (Australia)', 'New Zealand (New Zealand)', 'Singapore (Singapore)', 'United Kingdom (UK) (United Kingdom (uk))', 'Luxembourg (Luxembourg)']",49.55 - 81.65 Lakhs,https://www.timesjobs.com/job-detail/blockchain-engineer-skywalk-visa-immigration-services-llp-australia-new-zealand-singapore-null-null-2-to-7-yrs-jobid-__SLASH__IgLgzv__SLASH__7oRzpSvf__PLUS__uAgZw==&source=srp
Babita Bhattacharya,1 - 5Years,"['Prpl HAL', 'API validation', 'Python Scripting', 'TCP', 'IP']",['Chennai (Tamil Nadu)'],As per Industry Standards,https://www.timesjobs.com/job-detail/sw-test-prpl-wlan-software-test-engineer-babita-bhattacharya-chennai-1-to-5-yrs-jobid-Co5q__SLASH__n2N1uhzpSvf__PLUS__uAgZw==&source=srp
NxtWave,0 - 2Years,"['Python', 'Java', 'C++', 'MS word', 'Ms Excel', 'communication', 'Coding', 'Excel']","['Chennai (Tamil Nadu)', 'Gurgaon (Haryana)', 'Noida/ Greater Noida (Uttar Pradesh)', 'Pune (Maharashtra)']",6.00 - 10.00 Lakhs,https://www.timesjobs.com/job-detail/full-stack-developer-training-growth-nxtwave-chennai-gurgaon-noida-greater-noida-pune-0-to-2-yrs-jobid-q6__PLUS__WdtdgBOtzpSvf__PLUS__uAgZw==&source=srp
NxtWave,0 - 2Years,"['Python', 'Java', 'C++', 'MS word', 'Ms Excel', 'communication', 'Coding', 'Excel']","['Ahmedabad (Gujarat)', 'Bengaluru/ Bangalore (Karnataka)', 'Delhi (Delhi)', 'Hyderabad/ Secunderabad (Telangana)', 'Mumbai (Maharashtra)']",6.00 - 10.00 Lakhs,https://www.timesjobs.com/job-detail/full-stack-developer-training-growth-nxtwave-ahmedabad-bengaluru-bangalore-delhi-hyderabad-secunderabad-mumbai-0-to-2-yrs-jobid-OPFpq3v6yNJzpSvf__PLUS__uAgZw==&source=srp
