Company Names,Years of experience,Skills,Locations,Salaries,Links
Options & Ideas,2 - 7Years,"['Data Analyst', 'Interpret primary Data', 'Bio Statistics']",['Kolkata (West Bengal)'],3.00 - 6.00 Lakhs,https://www.timesjobs.com/job-detail/bio-statistics-data-analyst-for-health-care-options-ideas-kolkata-2-to-7-yrs-jobid-eJHIJBPFOtJzpSvf__PLUS__uAgZw==&source=srp
Leading Service based MNC,6 - 11Years,"['automation testing', 'Automation', 'Java', 'appium']",['Vadodara (Gujarat)'],1.00 - 17.00 Lakhs,https://www.timesjobs.com/job-detail/sdet-android-ios-automation-leading-service-based-mnc-vadodara-6-to-11-yrs-jobid-vxpDkr78i9lzpSvf__PLUS__uAgZw==&source=srp
AXISVISA IMMIGRATION SERVICES PRIVATE LIMITED,5 - 10Years,"['Software Designing', 'Illustration', 'Software engineer', 'associate software engineer', 'developer']","['Australia (Australia)', 'Canada (Canada)', 'Germany (Germany)', 'United Arab Emirates (UAE) (United Arab Emirates (uae))', 'Luxembourg (Luxembourg)']",22.15 - 35.65 Lakhs,https://www.timesjobs.com/job-detail/hiring-for-software-engineer-it-manager-in-luxemburg-axisvisa-immigration-services-private-limited-australia-canada-germany-null-null-5-to-10-yrs-jobid-ZviR6l4PkZ9zpSvf__PLUS__uAgZw==&source=srp
World wide Immigration Service Llp,3 - 8Years,"['network engineer', 'network administrator', 'Network Configuration Maintenance', 'Network Designing', 'Network Architecture', 'Network Development']",['Sweden (Sweden)'],50.00 - 95.00 Lakhs,https://www.timesjobs.com/job-detail/network-engineer-job-in-sweden-with-family-world-wide-immigration-service-llp-sweden-3-to-8-yrs-jobid-Em8yctLwyklzpSvf__PLUS__uAgZw==&source=srp
Electrobrain modern technologies pvt ltd,3 - 7Years,"['Data Science', 'C++', 'Artificial Intelligence', 'Data Cleansing', 'Data Extraction', 'Deployment', 'Data Manipulation', 'Reporting', 'Data Visualization']","['Chandigarh (Punjab)', 'Vijayawada (Andhra Pradesh)', 'Visakhapatnam (Andhra Pradesh)', 'Mangalore (Karnataka)', 'Mysoru/ Mysore (Karnataka)']",7.30 - 16.70 Lakhs,https://www.timesjobs.com/job-detail/data-science-intern-electrobrain-modern-technologies-pvt-ltd-chandigarh-vijayawada-visakhapatnam-mangalore-mysoru-mysore-3-to-7-yrs-jobid-tqg4O5XtZYZzpSvf__PLUS__uAgZw==&source=srp
MACKENZIE MODERN IT SOLUTIONS PVT LTD,3 - 7Years,"['Data Science', 'C++', 'Artificial Intelligence', 'Data Cleansing', 'Data Extraction', 'DeploymentReporting', 'Machine Learning']","['Chandigarh (Punjab)', 'Vijayawada (Andhra Pradesh)', 'Visakhapatnam (Andhra Pradesh)', 'Mangalore (Karnataka)', 'Mysoru/ Mysore (Karnataka)']",7.15 - 16.50 Lakhs,https://www.timesjobs.com/job-detail/data-science-intern-mackenzie-modern-it-solutions-pvt-ltd-chandigarh-vijayawada-visakhapatnam-mangalore-mysoru-mysore-3-to-7-yrs-jobid-oyHhJL7__SLASH__AexzpSvf__PLUS__uAgZw==&source=srp
MACKENZIE MODERN IT SOLUTIONS PVT LTD,3 - 7Years,"['Data Science', 'C++', 'Artificial Intelligence', 'Data Cleansing', 'Data Extraction', 'DeploymentReporting', 'Machine Learning']","['Gurgaon (Haryana)', 'Hyderabad/ Secunderabad (Telangana)', 'Mumbai (Maharashtra)', 'Noida/ Greater Noida (Uttar Pradesh)', 'Pune (Maharashtra)']",7.15 - 16.50 Lakhs,https://www.timesjobs.com/job-detail/data-science-intern-mackenzie-modern-it-solutions-pvt-ltd-gurgaon-hyderabad-secunderabad-mumbai-noida-greater-noida-pune-3-to-7-yrs-jobid-OJ7SNYBOyG9zpSvf__PLUS__uAgZw==&source=srp
Electrobrain modern technologies pvt ltd,3 - 7Years,"['Data Science', 'C++', 'Artificial Intelligence', 'Data Cleansing', 'Data Extraction', 'Deployment', 'Data Manipulation', 'Reporting', 'Data Visualization']","['Gurgaon (Haryana)', 'Hyderabad/ Secunderabad (Telangana)', 'Mumbai (Maharashtra)', 'Noida/ Greater Noida (Uttar Pradesh)', 'Pune (Maharashtra)']",7.30 - 16.70 Lakhs,https://www.timesjobs.com/job-detail/data-science-intern-electrobrain-modern-technologies-pvt-ltd-gurgaon-hyderabad-secunderabad-mumbai-noida-greater-noida-pune-3-to-7-yrs-jobid-abdok6Pw8slzpSvf__PLUS__uAgZw==&source=srp
PRIMEX IMMIGRATION LLP,4 - 9Years,"['Software Engineer', 'Software Developer', 'Senior Software engineer', 'Software Programmer', 'IT']","['Australia (Australia)', 'Canada (Canada)', 'New Zealand (New Zealand)', 'Singapore (Singapore)']",86.00 - 95.00 Lakhs,https://www.timesjobs.com/job-detail/software-engineer-job-in-gulf-with-family-primex-immigration-llp-australia-canada-new-zealand-singapore-4-to-9-yrs-jobid-3T2z__PLUS__klPNGBzpSvf__PLUS__uAgZw==&source=srp
MACKENZIE MODERN IT SOLUTIONS PVT LTD,3 - 7Years,"['Data Science', 'C++', 'Artificial Intelligence', 'Data Cleansing', 'Data Extraction', 'DeploymentReporting', 'Machine Learning']","['Ahmedabad (Gujarat)', 'Bengaluru/ Bangalore (Karnataka)', 'Chennai (Tamil Nadu)', 'Delhi (Delhi)', 'Delhi/ NCR (Delhi)']",7.15 - 16.50 Lakhs,https://www.timesjobs.com/job-detail/data-science-intern-mackenzie-modern-it-solutions-pvt-ltd-ahmedabad-bengaluru-bangalore-chennai-delhi-delhi-ncr-3-to-7-yrs-jobid-kw3EmMIyoIxzpSvf__PLUS__uAgZw==&source=srp
Electrobrain modern technologies pvt ltd,3 - 7Years,"['Data Science', 'C++', 'Artificial Intelligence', 'Data Cleansing', 'Data Extraction', 'Deployment', 'Data Manipulation', 'Reporting', 'Data Visualization']","['Ahmedabad (Gujarat)', 'Bengaluru/ Bangalore (Karnataka)', 'Chennai (Tamil Nadu)', 'Delhi (Delhi)', 'Delhi/ NCR (Delhi)']",7.30 - 16.70 Lakhs,https://www.timesjobs.com/job-detail/data-science-intern-electrobrain-modern-technologies-pvt-ltd-ahmedabad-bengaluru-bangalore-chennai-delhi-delhi-ncr-3-to-7-yrs-jobid-xD44J__SLASH__T3__PLUS__OVzpSvf__PLUS__uAgZw==&source=srp
