Company Names,Years of experience,Skills,Locations,Salaries,Links
HR Empower Consultancy,0 - 2Years,"['PHP', 'Python', 'Ruby', 'NET', 'JavaScript', 'HTML5', 'CSS3', 'Core Java', 'SASS', 'LESS']","['Surat (Gujarat)', 'Bhopal (Madhya Pradesh)', 'Indore (Madhya Pradesh)', 'Nasik (Maharashtra)', 'Puri (Orissa)']",As per Industry Standards,https://www.timesjobs.com/job-detail/back-end-engineer-hr-empower-consultancy-surat-bhopal-indore-nasik-puri-0-to-2-yrs-jobid-bjqrV7CcJdpzpSvf__PLUS__uAgZw==&source=srp
Sparks To IDeas,0 - 2Years,"['Machine Learning', 'Data Cleaning', 'Power BI', 'Statistics', 'Tableau', 'Python', 'Excel', 'Opencv', 'Django']","['Ahmedabad (Gujarat)', 'Botad (Gujarat)', 'Jamnagar (Gujarat)', 'Junagarh (Gujarat)', 'Mehsana (Gujarat)']",1.05 - 2.00 Lakhs,https://www.timesjobs.com/job-detail/data-science-project-internship-sparks-to-ideas-ahmedabad-botad-jamnagar-junagarh-mehsana-0-to-2-yrs-jobid-4H6mnxOtloZzpSvf__PLUS__uAgZw==&source=srp
HR Empower Consultancy,0 - 1Years,"['Data mining', 'Python', 'SQL', 'SVM', 'Machine Learning', 'matplotlib', 'Tableau', 'Problem-solving aptitude', 'Data Analyst']","['Rajkot (Gujarat)', 'Una (Himachal Pradesh)', 'Ropar (Punjab)', 'Jaipur (Rajasthan)', 'Muzaffarnagar (Uttar Pradesh)']",As per Industry Standards,https://www.timesjobs.com/job-detail/data-scientist-hr-empower-consultancy-rajkot-una-ropar-jaipur-muzaffarnagar-0-to-1-yrs-jobid-7p2uEoPX17lzpSvf__PLUS__uAgZw==&source=srp
Proconnxt,3 - 8Years,"['Data Visualization', 'Power Bi', 'dax', 'Sql', 'OOPS', 'Business Intelligence Data Warehousing', 'dashboards', 'Data Modeling', 'Python', 'snowflake', 'svn']",['Bengaluru/ Bangalore (Karnataka)'],As per Industry Standards,https://www.timesjobs.com/job-detail/sr-powerbi-jr-powerbi-developer-product-based-company-proconnxt-bengaluru-bangalore-3-to-8-yrs-jobid-FN6xFwEI3phzpSvf__PLUS__uAgZw==&source=srp
Electrobrain modern technologies pvt ltd,2 - 7Years,"['Process documentation', 'Analytical', 'Consulting', 'Machine learning', 'Silicon', 'Data analytics', 'Python', 'Business Analyst']","['Delhi (Delhi)', 'Delhi/ NCR (Delhi)', 'Gurgaon (Haryana)', 'Mumbai (Maharashtra)', 'Noida/ Greater Noida (Uttar Pradesh)']",7.20 - 18.45 Lakhs,https://www.timesjobs.com/job-detail/senior-analyst-data-science-electrobrain-modern-technologies-pvt-ltd-delhi-delhi-ncr-gurgaon-mumbai-noida-greater-noida-2-to-7-yrs-jobid-fyeQZ9GtspJzpSvf__PLUS__uAgZw==&source=srp
DZS Solutions India Pvt Ltd.,10 - 15Years,"['C/C++', 'GOLANG', 'REST APIs', 'Python', 'CLI/SNMP/NETCONF/YANG', 'Kubernetes', 'Openstack', 'Docker', 'Git', 'Artifactory', 'Bitbucket', 'Linux/BSD/Unix systems']",['Bengaluru/ Bangalore (Karnataka)'],As per Industry Standards,https://www.timesjobs.com/job-detail/software-development-engineer-dzs-solutions-india-pvt-ltd-dzs-solutions-india-pvt-ltd-bengaluru-bangalore-10-to-15-yrs-jobid-y4y6LZOpeVlzpSvf__PLUS__uAgZw==&source=srp
THE MAAYENTURE GROUP,1 - 3Years,"['Education', 'Teacher', '.net', 'coding', 'Html', 'computer', 'robotics', 'c++', 'stem', 'school', 'tgt', 'Pgt', 'Teaching', 'Assistant Teacher', 'School Teacher', 'ai', 'Machine Learning', 'Python', 'science']","['Delhi (Delhi)', 'Delhi/ NCR (Delhi)', 'Amritsar (Punjab)', 'Chandigarh (Punjab)', 'Pathankot (Punjab)']",3.00 - 5.60 Lakhs,https://www.timesjobs.com/job-detail/robotics-teacher-the-maayenture-group-delhi-delhi-ncr-amritsar-chandigarh-pathankot-1-to-3-yrs-jobid-SGwXn1v5qUhzpSvf__PLUS__uAgZw==&source=srp
Sanskruti Solutions,2 - 5Years,"['Bioinformatics', 'R Programming', 'Python Programming', 'NGS Data Handling', 'DNA-Seq. Analysis', 'Unix', 'Shell Scripting', 'Docker', 'GitHub', 'Multi-Omics Data Analysis', 'Coding', 'Cancer']","['Mumbai (Maharashtra)', 'Thane (Maharashtra)']",5.00 - 12.00 Lakhs,https://www.timesjobs.com/job-detail/bioinformatician-2-5-years-experienced-in-cancer-projects-sanskruti-solutions-mumbai-thane-2-to-5-yrs-jobid-PwF4t3F0v1VzpSvf__PLUS__uAgZw==&source=srp
HR Empower Consultancy,0 - 1Years,"['Data mining', 'Python', 'SQL', 'SVM', 'Machine Learning', 'matplotlib', 'Tableau', 'Problem-solving aptitude', 'Data Analyst']","['Ahmedabad (Gujarat)', 'Tezpur (Assam)', 'Fatehabad (Haryana)', 'Mangalore (Karnataka)', 'Satna (Madhya Pradesh)']",As per Industry Standards,https://www.timesjobs.com/job-detail/data-scientist-hr-empower-consultancy-ahmedabad-tezpur-fatehabad-mangalore-satna-0-to-1-yrs-jobid-P3swb8f6M__PLUS__lzpSvf__PLUS__uAgZw==&source=srp
Sparks To Ideas,0 - 1Years,"['Machine Learning', 'Data Cleaning', 'Data Visulization', 'Python', 'Django', 'SQL', 'Data Mining', 'Problem Solving', 'Excel', 'Pandas', 'Pycharm', 'Numpy', 'Power BI', 'Tableau']",['Ahmedabad (Gujarat)'],1.05 - 6.10 Lakhs,https://www.timesjobs.com/job-detail/data-sciecne-project-internship-in-ahmedbaad-sparks-to-ideas-ahmedabad-0-to-1-yrs-jobid-3oiQmeiS2yBzpSvf__PLUS__uAgZw==&source=srp
Team Management Services,1 - 6Years,"['C#/.NET Core (MVC', 'Web API)', 'Python (FastAPI', 'Flask', 'Django)', 'Node.js (Express.js', 'NestJS)', 'Java (Spring Boot', 'SOLID Principles)', 'Service Bus', 'Azure Services']","['Noida/ Greater Noida (Uttar Pradesh)', 'Pune (Maharashtra)', 'Jaipur (Rajasthan)']",As per Industry Standards,https://www.timesjobs.com/job-detail/integration-developer-team-management-services-noida-greater-noida-pune-jaipur-1-to-6-yrs-jobid-kKLxF2sXAtRzpSvf__PLUS__uAgZw==&source=srp
HR Empower Consultancy,0 - 1Years,"['HTML', 'XHTML', 'CSS', 'JavaScript', 'python', 'php', 'Java', 'ASP', 'ASP.NET']","['Noida/ Greater Noida (Uttar Pradesh)', 'Karimnagar (Telangana)', 'Porbandar (Gujarat)', 'Karnal (Haryana)', 'Ratlam (Madhya Pradesh)']",As per Industry Standards,https://www.timesjobs.com/job-detail/web-developer-hr-empower-consultancy-noida-greater-noida-karimnagar-porbandar-karnal-ratlam-0-to-1-yrs-jobid-AQj5Z__SLASH__DGMIZzpSvf__PLUS__uAgZw==&source=srp
HR Empower Consultancy,0 - 1Years,"['HTML', 'C++', 'Javascript', 'Css', 'frameworks', 'Database', 'Java', 'Python']","['Jalandhar (Punjab)', 'Jaisalmer (Rajasthan)', 'Kanniyakumari (Tamil Nadu)', 'Allahabad (Uttar Pradesh)', 'Roorkee (Uttaranchal)']",As per Industry Standards,https://www.timesjobs.com/job-detail/software-developer-hr-empower-consultancy-jalandhar-jaisalmer-kanniyakumari-allahabad-roorkee-0-to-1-yrs-jobid-CbwQX4jvyFFzpSvf__PLUS__uAgZw==&source=srp
HR Empower Consultancy,0 - 1Years,"['Ms Office', 'ms excel', 'Interpret Data skill', 'SPSS', 'SAS', 'Python', 'SQL']","['Pune (Maharashtra)', 'Cuttack (Orissa)', 'Mohali (Punjab)', 'Chennai (Tamil Nadu)', 'Allahabad (Uttar Pradesh)']",As per Industry Standards,https://www.timesjobs.com/job-detail/data-entry-analyst-hr-empower-consultancy-pune-cuttack-mohali-chennai-allahabad-0-to-1-yrs-jobid-fX0q5rtX25xzpSvf__PLUS__uAgZw==&source=srp
