Company Names,Years of experience,Skills,Locations,Salaries,Links
Maven Workforce Pvt. Ltd.,3 - 8Years,"['python', 'automation', 'linux']","['Bengaluru/ Bangalore (Karnataka)', 'Hyderabad/ Secunderabad (Telangana)']",As per Industry Standards,https://www.timesjobs.com/job-detail/python-automation-engineer-maven-workforce-pvt-ltd-bengaluru-bangalore-hyderabad-secunderabad-3-to-8-yrs-jobid-XTe5MZRTXGRzpSvf__PLUS__uAgZw==&source=srp
Maxgen Technologies,0 - 1Years,"['internship', 'python', 'django']","['Ahmedabad (Gujarat)', 'Bhavnagar (Gujarat)', 'Junagarh (Gujarat)', 'Rajkot (Gujarat)', 'Surendranagar (Gujarat)']",As per Industry Standards,https://www.timesjobs.com/job-detail/python-internship-in-ahmedabad-maxgen-technologies-ahmedabad-bhavnagar-junagarh-rajkot-surendranagar-0-to-1-yrs-jobid-ySZBm0__PLUS__On__SLASH__hzpSvf__PLUS__uAgZw==&source=srp
Maxgen Technologies,0 - 1Years,"['django', 'internship', 'web development']","['Ahmedabad (Gujarat)', 'Anand (Gujarat)', 'Gandhinagar (Gujarat)', 'Mehsana (Gujarat)', 'Surat (Gujarat)']",As per Industry Standards,https://www.timesjobs.com/job-detail/python-internship-in-ahmedabad-maxgen-technologies-ahmedabad-anand-gandhinagar-mehsana-surat-0-to-1-yrs-jobid-q9XpfSkVvx1zpSvf__PLUS__uAgZw==&source=srp
Maxgen Technologies,0 - 1Years,['python'],"['Pune (Maharashtra)', 'Amravati (Maharashtra)', 'Dhule (Maharashtra)', 'Sangli (Maharashtra)', 'Satara (Maharashtra)']",Best in Industry,https://www.timesjobs.com/job-detail/python-internship-in-pune-maxgen-technologies-pune-amravati-dhule-sangli-satara-0-to-1-yrs-jobid-U8CLpeMUUx9zpSvf__PLUS__uAgZw==&source=srp
SAMPOORNA CONSULTANTS PVT LTD,3 - 5Years,['python'],['Bengaluru/ Bangalore (Karnataka)'],18.00 - 24.00 Lakhs,https://www.timesjobs.com/job-detail/python-developer-j48613-sampoorna-consultants-pvt-ltd-bengaluru-bangalore-3-to-5-yrs-jobid-tg1JQcduvzBzpSvf__PLUS__uAgZw==&source=srp
Sparks To Ideas,0 - 1Years,"['Machine Learning', 'Django', 'Algorithm', 'Git', 'Linux', 'Data Visulization', 'Data Analysis', 'Python', 'AWS', 'SQL']",['Ahmedabad (Gujarat)'],1.05 - 6.10 Lakhs,https://www.timesjobs.com/job-detail/python-internship-at-ahmedabad-sparks-to-ideas-ahmedabad-0-to-1-yrs-jobid-rA1kezCzCGlzpSvf__PLUS__uAgZw==&source=srp
Maxgen Technologies,0 - 1Years,['.'],"['Pune (Maharashtra)', 'Amravati (Maharashtra)', 'Dhule (Maharashtra)', 'Sangli (Maharashtra)', 'Satara (Maharashtra)']",Best in Industry,https://www.timesjobs.com/job-detail/python-internship-in-pune-maxgen-technologies-pune-amravati-dhule-sangli-satara-0-to-1-yrs-jobid-qoulke6QUiRzpSvf__PLUS__uAgZw==&source=srp
Maxgen Technologies,0 - 1Years,['django'],"['Pune (Maharashtra)', 'Amravati (Maharashtra)', 'Dhule (Maharashtra)', 'Sangli (Maharashtra)', 'Satara (Maharashtra)']",Best in Industry,https://www.timesjobs.com/job-detail/python-internship-in-pune-maxgen-technologies-pune-amravati-dhule-sangli-satara-0-to-1-yrs-jobid-3krHtI6GI11zpSvf__PLUS__uAgZw==&source=srp
Sparks To Ideas,0 - 1Years,"['HTML', 'HTML 5', 'CSS', 'CSS 3', 'Jack quary', 'Java Script', 'Ajax', 'Core python', 'advance python', 'Nymph', 'Pandas', 'django', 'Machine learning', 'Pie charm', 'oops concepts']",['Ahmedabad (Gujarat)'],USD 1.05 - 5.10 Lakhs,https://www.timesjobs.com/job-detail/python-live-project-internship-sparks-to-ideas-ahmedabad-0-to-1-yrs-jobid-dopg9hbnMLxzpSvf__PLUS__uAgZw==&source=srp
Sparks To Ideas,0 - 1Years,"['HTML', 'HTML 5', 'CSS', 'CSS 3', 'Jack quary', 'Java Script', 'Ajax', 'Core python', 'advance python', 'Nymph', 'Pandas', 'django', 'Machine learning', 'Pie charm', 'oops concepts']",['Ahmedabad (Gujarat)'],USD 1.05 - 5.10 Lakhs,https://www.timesjobs.com/job-detail/python-internship-for-freshers-sparks-to-ideas-ahmedabad-0-to-1-yrs-jobid-pUaJoUgjGf5zpSvf__PLUS__uAgZw==&source=srp
