Company Names,Years of experience,Skills,Locations,Salaries,Links
Sparks To Ideas,0 - 1Years,"['HTML', 'HTML 5', 'CSS', 'CSS 3', 'Jack quary', 'Java Script', 'Ajax', 'Core python', 'advance python', 'Nymph', 'Pandas', 'django', 'Machine learning', 'Pie charm', 'oops concepts']",['Ahmedabad (Gujarat)'],USD 1.05 - 5.10 Lakhs,https://www.timesjobs.com/job-detail/python-internship-for-freshers-sparks-to-ideas-ahmedabad-0-to-1-yrs-jobid-4eCTBYA__SLASH__amlzpSvf__PLUS__uAgZw==&source=srp
SAMPOORNA CONSULTANTS PVT LTD,5 - 7Years,"['Python', 'django']",['Hyderabad/ Secunderabad (Telangana)'],10.00 - 20.00 Lakhs,https://www.timesjobs.com/job-detail/software-engineer-python-j48619-sampoorna-consultants-pvt-ltd-hyderabad-secunderabad-5-to-7-yrs-jobid-p2WBMQMQLk9zpSvf__PLUS__uAgZw==&source=srp
SAMPOORNA CONSULTANTS PVT LTD,5 - 8Years,"['Javascript', 'Typescript', 'React']",['Bengaluru/ Bangalore (Karnataka)'],14.00 - 27.00 Lakhs,https://www.timesjobs.com/job-detail/sse-python-developer-j48725-sampoorna-consultants-pvt-ltd-bengaluru-bangalore-5-to-8-yrs-jobid-li4L2D1M5BhzpSvf__PLUS__uAgZw==&source=srp
SAMPOORNA CONSULTANTS PVT LTD,6 - 8Years,"['Fullstack', 'python']",['Hyderabad/ Secunderabad (Telangana)'],12.00 - 22.00 Lakhs,https://www.timesjobs.com/job-detail/full-stack-engineer-python-j48621-sampoorna-consultants-pvt-ltd-hyderabad-secunderabad-6-to-8-yrs-jobid-BH8oc2fHMUdzpSvf__PLUS__uAgZw==&source=srp
A Leading Firm,5 - 10Years,"['Django', 'Python']",['Chennai (Tamil Nadu)'],15.00 - 35.00 Lakhs,https://www.timesjobs.com/job-detail/senior-python-backend-developer-j48527-a-leading-firm-chennai-5-to-10-yrs-jobid-sUuMk3duhyNzpSvf__PLUS__uAgZw==&source=srp
White Horse Manpower Consultancy P Ltd,4 - 8Years,"['VBA Automation', 'Python', 'RPA', 'SAP Scripting', 'Selenium']",['Bengaluru/ Bangalore (Karnataka)'],4.00 - 7.00 Lakhs,https://www.timesjobs.com/job-detail/developer-vba-automation-sap-scripting-python-rpa-bangalore-white-horse-manpower-consultancy-p-ltd-bengaluru-bangalore-4-to-8-yrs-jobid-tXEUm1nrJY1zpSvf__PLUS__uAgZw==&source=srp
Client of PP Consulting,1 - 6Years,"['Python', 'Hadoop', 'Big Data', 'Kafka', 'Spark', 'Sql', 'Data warehousing']",['Mumbai (Maharashtra)'],As per Industry Standards,https://www.timesjobs.com/job-detail/big-data-engineer-big-data-developer-big-data-with-python-client-of-pp-consulting-mumbai-1-to-6-yrs-jobid-Ne__SLASH__oL0JDxGVzpSvf__PLUS__uAgZw==&source=srp
White Horse Manpower Consultancy P Ltd,3 - 8Years,"['Oracle Apps', 'Sapabap/HANA']","['Bengaluru/ Bangalore (Karnataka)', 'Chennai (Tamil Nadu)', 'Hyderabad/ Secunderabad (Telangana)']",3.00 - 7.00 Lakhs,https://www.timesjobs.com/job-detail/jobs-in-it-sector-oracle-apps-ebs-scm-python-react-sapabap-hana-white-horse-manpower-consultancy-p-ltd-bengaluru-bangalore-chennai-hyderabad-secunderabad-3-to-8-yrs-jobid-kAR71Qw__SLASH__EupzpSvf__PLUS__uAgZw==&source=srp
New Global Technologies,1 - 6Years,"['Cloud Computing', 'Saas', 'Data Base Administration', 'business analyst', 'sas developer', 'software engineer', 'python', 'Shell Scripting']","['Bengaluru/ Bangalore (Karnataka)', 'Delhi/ NCR (Delhi)', 'Hyderabad/ Secunderabad (Telangana)', 'Mumbai (Maharashtra)', 'Pune (Maharashtra)']",4.00 - 14.00 Lakhs,https://www.timesjobs.com/job-detail/senior-business-analyst-data-engineer-python-cloud-computing-new-global-technologies-bengaluru-bangalore-delhi-ncr-hyderabad-secunderabad-mumbai-pune-1-to-6-yrs-jobid-1npKnPrjBolzpSvf__PLUS__uAgZw==&source=srp
TALPRO INDIA PRIVATE LIMITED,5 - 15Years,['Python'],['Bengaluru/ Bangalore (Karnataka)'],15.30 - 30.60 Lakhs,https://www.timesjobs.com/job-detail/software-engineer-ios-talpro-india-private-limited-bengaluru-bangalore-5-to-15-yrs-jobid-ARl__SLASH____SLASH__820WSdzpSvf__PLUS__uAgZw==&source=srp
New Global Technologies,0 - 3Years,"['Cloud Computing', 'Saas', 'Data Base Administration', 'business analyst', 'sas developer', 'software engineer', 'python', 'Shell Scripting']","['Ahmedabad (Gujarat)', 'Chennai (Tamil Nadu)', 'Gurgaon (Haryana)', 'Kolkata (West Bengal)', 'Noida/ Greater Noida (Uttar Pradesh)']",4.00 - 14.00 Lakhs,https://www.timesjobs.com/job-detail/senior-business-analyst-data-engineer-python-cloud-computing-new-global-technologies-ahmedabad-chennai-gurgaon-kolkata-noida-greater-noida-0-to-3-yrs-jobid-__SLASH__Ces9G9tVn5zpSvf__PLUS__uAgZw==&source=srp
SAMPOORNA CONSULTANTS PVT LTD,5 - 8Years,"['MLOps', 'Python']",['Chennai (Tamil Nadu)'],20.00 - 30.00 Lakhs,https://www.timesjobs.com/job-detail/mlops-engineer-j48709-sampoorna-consultants-pvt-ltd-chennai-5-to-8-yrs-jobid-uD175f7iiu1zpSvf__PLUS__uAgZw==&source=srp
Best InfoSystems Ltd.,6 - 8Years,"['Matillion Developer', 'Python', 'SQL']","['Bengaluru/ Bangalore (Karnataka)', 'Chennai (Tamil Nadu)', 'Hyderabad/ Secunderabad (Telangana)', 'Noida/ Greater Noida (Uttar Pradesh)', 'Pune (Maharashtra)']",15.00 - 28.00 Lakhs,https://www.timesjobs.com/job-detail/matillion-developer-best-infosystems-ltd-bengaluru-bangalore-chennai-hyderabad-secunderabad-noida-greater-noida-pune-6-to-8-yrs-jobid-5eqLqTLJiXRzpSvf__PLUS__uAgZw==&source=srp
SAMPOORNA CONSULTANTS PVT LTD,8 - 12Years,"['Machine Learning', 'Python']","['Bengaluru/ Bangalore (Karnataka)', 'Chennai (Tamil Nadu)']",30.00 - 45.00 Lakhs,https://www.timesjobs.com/job-detail/senior-ml-engineer-j48705-sampoorna-consultants-pvt-ltd-bengaluru-bangalore-chennai-8-to-12-yrs-jobid-ibMNjnoLhzhzpSvf__PLUS__uAgZw==&source=srp
SAMPOORNA CONSULTANTS PVT LTD,2 - 6Years,"['Java', 'PHP', 'Python']",['Bengaluru/ Bangalore (Karnataka)'],5.00 - 14.00 Lakhs,https://www.timesjobs.com/job-detail/manual-source-code-a-con-con-blr-j48679-sampoorna-consultants-pvt-ltd-bengaluru-bangalore-2-to-6-yrs-jobid-4dxLonoQ3bRzpSvf__PLUS__uAgZw==&source=srp
