Company Names,Years of experience,Skills,Locations,Salaries,Links
SAMPOORNA CONSULTANTS PVT LTD,5 - 10Years,['Artificial Intelligence'],['Chennai (Tamil Nadu)'],20.00 - 40.00 Lakhs,https://www.timesjobs.com/job-detail/ai-research-engineer-j48718-sampoorna-consultants-pvt-ltd-chennai-5-to-10-yrs-jobid-WtgeAZCNDjNzpSvf__PLUS__uAgZw==&source=srp
LTIMindtree Ltd.,5 - 8Years,['Routing'],"['Bengaluru/ Bangalore (Karnataka)', 'Pune (Maharashtra)']",As per Industry Standards,https://www.timesjobs.com/job-detail/r-s-implementation-migration-pdi-ltimindtree-ltd-bengaluru-bangalore-pune-5-to-8-yrs-jobid-yis2UyeBPPBzpSvf__PLUS__uAgZw==&source=srp
Sparks To Ideas,0 - 1Years,"['Dart', 'API integration', 'Problem Solving', 'Flutter', 'Git', 'Api', 'Application', 'Design', 'Testing']",['Ahmedabad (Gujarat)'],1.05 - 6.10 Lakhs,https://www.timesjobs.com/job-detail/required-flutter-developer-sparks-to-ideas-ahmedabad-0-to-1-yrs-jobid-e7j3m3dRCR9zpSvf__PLUS__uAgZw==&source=srp
Maxgen Technologies,0 - 1Years,['summer internship'],"['Ahmedabad (Gujarat)', 'Bhavnagar (Gujarat)', 'Junagarh (Gujarat)', 'Rajkot (Gujarat)', 'Surendranagar (Gujarat)']",As per Industry Standards,https://www.timesjobs.com/job-detail/summer-internship-in-ahmedabad-maxgen-technologies-ahmedabad-bhavnagar-junagarh-rajkot-surendranagar-0-to-1-yrs-jobid-z3bSjlLu__PLUS__OZzpSvf__PLUS__uAgZw==&source=srp
LTIMindtree Ltd.,5 - 8Years,"['DevSecOps', 'Cybersecurity', '""Agile engineering""', 'Github', 'JavaScript', 'YAML', 'HTML', 'CSS', 'Azure DevOps', 'Agile engineering']","['Ahmedabad (Gujarat)', 'Bengaluru/ Bangalore (Karnataka)', 'Chennai (Tamil Nadu)', 'Delhi (Delhi)', 'Hyderabad/ Secunderabad (Telangana)']",As per Industry Standards,https://www.timesjobs.com/job-detail/azure-devops-ltimindtree-ltd-ahmedabad-bengaluru-bangalore-chennai-delhi-hyderabad-secunderabad-5-to-8-yrs-jobid-gPMBMqq7ZPtzpSvf__PLUS__uAgZw==&source=srp
software company ltd,5 - 10Years,"['Senior Quality Assurance Analyst', 'software testing']",['Mumbai (Maharashtra)'],5.00 - 9.00 Lakhs,https://www.timesjobs.com/job-detail/senior-quality-assurance-analyst-software-company-ltd-mumbai-5-to-10-yrs-jobid-Y8jTvntLS4hzpSvf__PLUS__uAgZw==&source=srp
SHREE ADISHAKTHI CONSULTANCY,3 - 6Years,"['RHEL', 'Linnux OS concepts', 'Os pacthing', 'OS user mangement', 'OS authentication-PAm', 'Linex kernal configratiom', 'RPM pacthing']",['Bengaluru/ Bangalore (Karnataka)'],8.00 - 11.00 Lakhs,https://www.timesjobs.com/job-detail/linux-os-engineer-software-engineer-shree-adishakthi-consultancy-bengaluru-bangalore-3-to-6-yrs-jobid-coolNc8teEtzpSvf__PLUS__uAgZw==&source=srp
Maxgen Technologies,0 - 1Years,['.'],"['Pune (Maharashtra)', 'Amravati (Maharashtra)', 'Dhule (Maharashtra)', 'Sangli (Maharashtra)', 'Satara (Maharashtra)']",Best in Industry,https://www.timesjobs.com/job-detail/data-science-internship-in-pune-maxgen-technologies-pune-amravati-dhule-sangli-satara-0-to-1-yrs-jobid-jbEPpjZPQq1zpSvf__PLUS__uAgZw==&source=srp
A Leading Firm,6 - 8Years,['software engineer qa'],['Pune (Maharashtra)'],8.00 - 20.00 Lakhs,https://www.timesjobs.com/job-detail/senior-software-engineer-qa-automation-j48489-a-leading-firm-pune-6-to-8-yrs-jobid-1KVVsRe__SLASH__80BzpSvf__PLUS__uAgZw==&source=srp
157 industries pvt ltd,3 - 6Years,"['PostgreSQL', 'PG DB', 'ETL tool knowledge', 'Airflow', 'DAG', 'Performance tunning', 'Unix']",['Pune (Maharashtra)'],As per Industry Standards,https://www.timesjobs.com/job-detail/postgresql-developer-157-industries-pvt-ltd-pune-3-to-6-yrs-jobid-OvWsHQ__SLASH__E3WBzpSvf__PLUS__uAgZw==&source=srp
