Company Names,Years of experience,Skills,Locations,Salaries,Links
SAMPOORNA CONSULTANTS PVT LTD,3 - 8Years,['Testing'],['Bengaluru/ Bangalore (Karnataka)'],9.00 - 30.00 Lakhs,https://www.timesjobs.com/job-detail/automation-testing-with-acon-con-am-blrj48620-sampoorna-consultants-pvt-ltd-bengaluru-bangalore-3-to-8-yrs-jobid-2VjXCrjsS9lzpSvf__PLUS__uAgZw==&source=srp
TALPRO INDIA PRIVATE LIMITED,5 - 15Years,"['Camunda', 'Java']",['Bengaluru/ Bangalore (Karnataka)'],15.30 - 30.60 Lakhs,https://www.timesjobs.com/job-detail/sr-data-engineer-consultant-talpro-india-private-limited-bengaluru-bangalore-5-to-15-yrs-jobid-B8eVPjWgUP5zpSvf__PLUS__uAgZw==&source=srp
Maxgen Technologies,0 - 1Years,"['gtu', 'internship']","['Ahmedabad (Gujarat)', 'Anand (Gujarat)', 'Gandhinagar (Gujarat)', 'Mehsana (Gujarat)', 'Surat (Gujarat)']",As per Industry Standards,https://www.timesjobs.com/job-detail/gtu-internship-in-ahmedabad-maxgen-technologies-ahmedabad-anand-gandhinagar-mehsana-surat-0-to-1-yrs-jobid-kqpPhorZuvpzpSvf__PLUS__uAgZw==&source=srp
SAMPOORNA CONSULTANTS PVT LTD,5 - 8Years,['Cloud'],['Bengaluru/ Bangalore (Karnataka)'],22.00 - 27.00 Lakhs,https://www.timesjobs.com/job-detail/sse-performance-engineer-j48612-sampoorna-consultants-pvt-ltd-bengaluru-bangalore-5-to-8-yrs-jobid-SS3g6xGLmRFzpSvf__PLUS__uAgZw==&source=srp
TALPRO INDIA PRIVATE LIMITED,5 - 15Years,"['AWS', 'Devops', 'CI/CD']",['Bengaluru/ Bangalore (Karnataka)'],15.30 - 30.60 Lakhs,https://www.timesjobs.com/job-detail/platform-engineering-azure-devops-engineer-talpro-india-private-limited-bengaluru-bangalore-5-to-15-yrs-jobid-LDYmIR6jY8RzpSvf__PLUS__uAgZw==&source=srp
SAMPOORNA CONSULTANTS PVT LTD,6 - 8Years,['automation'],['Pune (Maharashtra)'],8.00 - 20.00 Lakhs,https://www.timesjobs.com/job-detail/senior-software-engineer-qa-automation-j48489-sampoorna-consultants-pvt-ltd-pune-6-to-8-yrs-jobid-S__PLUS__E9ryeSEodzpSvf__PLUS__uAgZw==&source=srp
RCIC     Recruitment Canada & Immigration Canada (New Delhi),8 - 13Years,"['testing', 'Automated Testing Manual Testing', '""Software Testing""', 'software test engineer', 'testing engineer', 'test engineer', 'tester', 'qa tester', 'manual testing']","['GULF/ MIDLE EAST (Gulf/ Midle East)', 'Australia (Australia)', 'Canada (Canada)']",USD 0.85 - 0.95 Lakhs,https://www.timesjobs.com/job-detail/abroad-requiremen-software-testing-canada-australia-rcic-recruitment-canada-immigration-canada-new-delhi-other-gulf-middle-east-location-s-australia-canada-8-to-13-yrs-jobid-MFhwkFCWL__PLUS__dzpSvf__PLUS__uAgZw==&source=srp
SAMPOORNA CONSULTANTS PVT LTD,2 - 4Years,['developer'],"['Bengaluru/ Bangalore (Karnataka)', 'Pune (Maharashtra)']",7.00 - 15.00 Lakhs,https://www.timesjobs.com/job-detail/alteryx-developer-blr-pune-acon-j48653-sampoorna-consultants-pvt-ltd-bengaluru-bangalore-pune-2-to-4-yrs-jobid-xqzQgoqAw0hzpSvf__PLUS__uAgZw==&source=srp
RCIC     Recruitment Canada & Immigration Canada (New Delhi),8 - 13Years,"['testing', 'Automated Testing Manual Testing', '""Software Testing""', 'software test engineer', 'testing engineer', 'test engineer', 'tester', 'qa tester', 'manual testing']","['GULF/ MIDLE EAST (Gulf/ Midle East)', 'Australia (Australia)', 'Canada (Canada)']",USD 0.85 - 0.95 Lakhs,https://www.timesjobs.com/job-detail/abroad-requiremen-software-testing-canada-australia-rcic-recruitment-canada-immigration-canada-new-delhi-other-gulf-middle-east-location-s-australia-canada-8-to-13-yrs-jobid-fOe1NzyB__SLASH__FRzpSvf__PLUS__uAgZw==&source=srp
TALPRO INDIA PRIVATE LIMITED,5 - 15Years,"['AWS', 'Devops', 'CI/CD']",['Bengaluru/ Bangalore (Karnataka)'],15.30 - 30.60 Lakhs,https://www.timesjobs.com/job-detail/aws-devops-engineer-talpro-india-private-limited-bengaluru-bangalore-5-to-15-yrs-jobid-dyenogeDWCdzpSvf__PLUS__uAgZw==&source=srp
New Global Technologies,0 - 3Years,"['Aws', 'Asnt', 'jenkins', 'docker', 'Devops', 'Ansible', 'Maven', 'Selenium Webdriver', 'yami.', 'gihub', 'azure', 'Cloud', 'Cloud Computing', 'Sales']","['Bengaluru/ Bangalore (Karnataka)', 'Chennai (Tamil Nadu)', 'Hyderabad/ Secunderabad (Telangana)', 'Mumbai (Maharashtra)', 'Pune (Maharashtra)']",3.00 - 9.00 Lakhs,https://www.timesjobs.com/job-detail/azure-devops-engineer-new-global-technologies-bengaluru-bangalore-chennai-hyderabad-secunderabad-mumbai-pune-0-to-3-yrs-jobid-8FY9Es9uEsRzpSvf__PLUS__uAgZw==&source=srp
Sparks To Ideas,0 - 1Years,"['Execl', 'Machine learning', 'Tablu', 'NLP 1', 'NLP 2', 'Power BI', 'SQL', 'Statistics', 'Web scraping']",['Ahmedabad (Gujarat)'],4.05 - 6.10 Lakhs,https://www.timesjobs.com/job-detail/job-for-data-science-in-ahmedabad-sparks-to-ideas-ahmedabad-0-to-1-yrs-jobid-sUORJ3ovghlzpSvf__PLUS__uAgZw==&source=srp
New Global Technologies,1 - 6Years,"['software engineer', 'software developer', 'java developer', 'business analyst', 'research associate', 'ASP .Net C# SQL', 'Html', 'Css', 'Javascript', 'Php']","['Visakhapatnam (Andhra Pradesh)', 'Patna (Bihar)', 'Gandhinagar (Gujarat)', 'Ranchi (Jharkhand)', 'Cochin/ Kochi/ Ernakulam (Kerala)']",4.00 - 12.00 Lakhs,https://www.timesjobs.com/job-detail/senior-software-engineer-new-global-technologies-visakhapatnam-patna-gandhinagar-ranchi-cochin-kochi-ernakulam-1-to-6-yrs-jobid-Xn6vM7mAMvFzpSvf__PLUS__uAgZw==&source=srp
IRANIAN CONSTRUCTION GROUP,10 - 15Years,['Oil & Gas Engineer'],"['Bengaluru/ Bangalore (Karnataka)', 'Chennai (Tamil Nadu)', 'Hyderabad/ Secunderabad (Telangana)', 'Pune (Maharashtra)', 'Canada (Canada)']",18.00 - 28.00 Lakhs,https://www.timesjobs.com/job-detail/canada-project-required-oil-gas-engineer-iranian-construction-group-bengaluru-bangalore-chennai-hyderabad-secunderabad-pune-canada-10-to-15-yrs-jobid-qvk5p6X5QZhzpSvf__PLUS__uAgZw==&source=srp
LAKSH HUMAN RESOURCE,1 - 3Years,"['rest', 'python', 'django', 'git']",['Mumbai (Maharashtra)'],As per Industry Standards,https://www.timesjobs.com/job-detail/python-developer-laksh-human-resource-mumbai-1-to-3-yrs-jobid-ak3vdW639qBzpSvf__PLUS__uAgZw==&source=srp
